baseline,status,taz_id,node_id,density,density_rank,rank_bucket,major_level,outside_len_ft,line_node_dist_ft
earliest,removed,3715,1020175,0.0028383787291730014,2,2,4.0,9209.940521902427,9805.774617975409
earliest,removed,3715,159240,0.001366994083948726,7,7-10,4.0,8425.557447051535,16283.18533448407
earliest,removed,3715,412821,0.001219712797230008,8,7-10,3.0,7786.591681702202,11365.721709425896
earliest,retained,4274,280196,0.0011963614432891644,1,1,4.0,6.068532257683065,60.38777849450709
earliest,retained,4274,648019,0.0010306649544662364,2,2,4.0,0.0,212.06672263101657
earliest,retained,4274,280100,0.0010201235989959491,4,3-4,4.0,4.732617177971967,913.9972787749062
earliest,removed,4274,903214,0.0009774289885962925,5,5-6,4.0,1.9999387348909636,84.961050608564
earliest,removed,4371,1554137,0.0,10,7-10,4.0,15039.734408031234,22159.55951945625
earliest,removed,4371,93078,8.695317954317142e-05,1,1,4.0,14921.126519397023,14955.938213167721
earliest,removed,4371,1554137,0.0,3,3-4,4.0,15039.734408031234,22880.062146664768
earliest,removed,4371,93078,0.0,5,5-6,4.0,14921.126519397023,22716.50545308653
earliest,removed,4387,1554137,0.002136466011790758,1,1,4.0,9.512245978126748,14242.60384685665
earliest,removed,4387,1584018,0.0018308185901350627,2,2,4.0,147.04691541227572,1690.8818511259742
earliest,removed,4387,93085,0.0009702165572962107,3,3-4,4.0,7.93598896581865,14294.880818615626
earliest,removed,4387,93077,0.000632251147493483,5,5-6,4.0,15.735455707839414,3078.8870539982804
earliest,removed,4388,93078,0.00022050960156516834,1,1,4.0,19139.288949659356,17490.79740649132
earliest,removed,4388,93078,0.0,2,2,4.0,19139.288949659356,24316.616368699924
earliest,removed,4388,514556,0.0,4,3-4,3.0,23964.220646708807,24436.304163785346
earliest,removed,4388,514556,0.0,6,5-6,3.0,23964.220646708807,21313.54107158102
earliest,removed,4951,210149,0.0015387032276134545,2,2,3.0,11.189162150195617,1045.0886759750454
earliest,removed,4951,514001,0.0013834254051322075,3,3-4,4.0,0.0,210.0877364062359
earliest,removed,4951,787819,0.0012366797215925627,4,3-4,3.0,0.0,1577.1006469451415
earliest,removed,4951,717550,0.0007178599958395333,7,7-10,4.0,0.0,1879.1026255501915
earliest,removed,4962,508978,0.005277242530997493,1,1,3.0,0.0,334.07563139703575
earliest,removed,4962,31956,0.002258009037009011,2,2,3.0,0.0,83.90672417506654
earliest,removed,4962,924311,0.0016264809558603594,5,5-6,4.0,1400.8030226682754,29.132473914787294
earliest,removed,4962,416919,0.0014330105601036076,7,7-10,4.0,90.10824736953167,765.3527730027954
earliest,removed,4963,192011,0.0012406562886900711,1,1,4.0,14.244676565358011,1162.3659236099597
earliest,removed,4963,192117,0.0010644715798950226,2,2,4.0,33.87634431551641,1241.5934794221205
earliest,removed,4963,924312,0.00034790574120504577,5,5-6,4.0,0.0,45.62201103626204
earliest,removed,4963,29639,0.00013017094652557375,8,7-10,4.0,9481.908202881337,12542.972894890272
earliest,retained,5040,727101,0.003910327425728891,1,1,4.0,12.547551025548398,209.3742065087743
earliest,removed,5040,412709,0.002253556801247556,2,2,4.0,9.862889441382366,65.34601382352413
earliest,removed,5040,199719,0.001216720602084402,4,3-4,3.0,37.67821069827647,4277.818992212335
earliest,removed,5040,199668,0.0011276195666017946,5,5-6,5.0,29.817341894133538,102.37996382147458
earliest,retained,5041,503816,0.004127337668366404,1,1,5.0,0.0,241.142614915008
earliest,retained,5041,200368,0.0033602899029469358,2,2,5.0,0.0,44.020056542009115
earliest,removed,5041,200378,0.0015771067442010148,6,5-6,5.0,15.717583836327057,18.962711877773113
earliest,removed,5041,200692,0.001059380603287386,7,7-10,5.0,0.0,1583.5059296130785
earliest,removed,5061,27742,0.0027681712822331833,1,1,4.0,17783.05258011271,17777.021429839497
earliest,removed,5061,27793,0.0018690605132979808,2,2,4.0,7038.944718525154,18788.16391136396
earliest,removed,5061,933632,0.0014222495166306564,4,3-4,4.0,3730.392992224622,13755.548317561335
earliest,removed,5061,1026872,0.0002570099300639237,8,7-10,4.0,19793.776119846792,18786.961966300838
earliest,removed,5062,1026872,0.001046997451184976,1,1,4.0,10837.793357301713,17883.538407436867
earliest,removed,5062,786399,0.0009204166435046847,2,2,3.0,0.0,475.7349495308616
earliest,removed,5062,27793,0.0006968572915257702,4,3-4,4.0,19934.254742092755,19949.712906924666
earliest,removed,5062,411942,0.0006730998810228656,5,5-6,3.0,5.074001774606347,567.398447397374
earliest,removed,5126,1525932,0.0009332772657475295,4,3-4,4.0,0.0,10.297850171104074
earliest,retained,5126,1064523,0.0028709799808757123,1,1,3.0,10.70832348264094,36.23910074500015
earliest,retained,5126,1064516,0.0007052442586802982,5,5-6,4.0,5.045671737311687,253.30510129677674
