taz_id,node_id,was_20260722_candidate,candidate_best_rank,candidate_max_density,candidate_sector_count,major_level,outside_len_ft
1361,117357,True,3.0,0.018236665064075747,5.0,3.0,0.0
1362,118153,False,,,,4.0,20.44290882206665
1363,118421,True,6.0,0.007441108834014695,1.0,4.0,0.0
1363,1361376,False,,,,4.0,3.606048191325515
1364,117731,False,,,,4.0,0.0
1364,118451,False,,,,4.0,0.0
1364,118677,False,,,,4.0,0.0
1365,117763,False,,,,4.0,10.237291447972273
1365,118622,True,6.0,0.005936596029100523,2.0,4.0,0.0
1365,1216011,False,,,,4.0,8.187369437925982
1367,118729,True,3.0,0.009228333618359685,1.0,4.0,0.0
1372,124775,True,6.0,0.004403559669828184,1.0,4.0,0.0
1373,552413,False,,,,4.0,0.0
1385,132720,False,,,,4.0,2179.2576775542157
1385,541508,False,,,,5.0,0.0
1386,132728,True,8.0,0.005345594026331503,1.0,4.0,34.68428321164503
1391,114715,False,,,,3.0,12.575153005668634
1391,114793,False,,,,4.0,1.063503446379126
1391,117552,False,,,,3.0,0.0
1391,117596,False,,,,4.0,0.0
1392,114699,False,,,,4.0,0.0
1392,114774,False,,,,4.0,0.5969159712353204
1393,114453,True,8.0,0.007980056164631284,1.0,4.0,0.0
1393,478957,False,,,,3.0,0.0
1394,114640,False,,,,4.0,0.0
1394,581919,False,,,,3.0,0.0
1395,22368,False,,,,4.0,0.0
1396,478975,False,,,,3.0,0.0
1397,114008,False,,,,4.0,45.633328195373714
1397,951995,False,,,,4.0,21.804346405280622
1402,117248,False,,,,4.0,3.413187159617447
1402,117268,False,,,,3.0,0.0
1404,117219,False,,,,4.0,3492.6743138856655
1405,115910,False,,,,4.0,19.133477965629567
1407,959656,False,,,,3.0,5.151677017272138
1408,117305,False,,,,3.0,0.0
1414,124486,False,,,,3.0,0.0
1414,1543637,False,,,,4.0,13.097188539683103
1415,124507,False,,,,3.0,0.0
1419,123416,False,,,,3.0,26.847931941768092
1419,1261325,False,,,,4.0,1.5285435094059325
1424,126122,False,,,,3.0,24.87246295471229
1424,671165,True,8.0,0.0046695810645516755,1.0,3.0,7.0214125775815885
1424,806020,False,,,,4.0,0.0
1425,549814,False,,,,3.0,0.0
1426,126050,True,3.0,0.010504001403148005,1.0,3.0,26.754723672072636
1427,126351,False,,,,3.0,0.0
1427,549904,False,,,,4.0,0.0
1427,549908,True,8.0,0.00478550695064216,2.0,4.0,0.0
1428,126197,False,,,,3.0,0.0
1429,126686,False,,,,3.0,33.052876839672244
1429,653972,False,,,,3.0,15.818056976955292
1429,671177,False,,,,3.0,0.0
1435,122494,False,,,,4.0,0.0
1436,126899,False,,,,4.0,7.683589987502218
1436,127078,True,7.0,0.002502608710228801,1.0,4.0,19.8797378555645
1436,440227,True,4.0,0.003917707618810125,1.0,4.0,8.927458063901796
1437,143197,False,,,,3.0,25.088573586051357
1438,127080,False,,,,4.0,4256.5630097999865
1438,806283,False,,,,3.0,1192.6933900516824
1440,143055,False,,,,3.0,10.324129572844432
1441,127003,True,1.0,0.012642493799923705,1.0,4.0,0.0
1441,127019,False,,,,4.0,0.0
1441,127484,False,,,,3.0,16.35528956549562
1442,127399,False,,,,3.0,31.895212513868266
1443,956939,False,,,,4.0,0.0
1445,143647,False,,,,4.0,0.0
1445,143653,False,,,,4.0,0.0
1446,143153,False,,,,4.0,13.703082693561496
1448,562167,False,,,,4.0,0.0
1448,636235,False,,,,4.0,5.128490089578901
1449,144232,False,,,,4.0,0.0
1449,631513,False,,,,4.0,0.0
1449,631522,False,,,,4.0,0.0
1453,144388,False,,,,4.0,13.694591393515452
1453,144545,False,,,,4.0,0.0
1458,952572,False,,,,3.0,0.0
1458,959058,False,,,,4.0,0.0
1459,143255,False,,,,4.0,0.0
1459,143375,False,,,,3.0,0.0
1461,143361,False,,,,3.0,22.353290578878497
1463,127921,False,,,,4.0,11.389786883590324
1463,777314,False,,,,4.0,12.331296606637308
1464,1247072,False,,,,5.0,0.0
1467,541437,False,,,,3.0,0.0
1468,125287,False,,,,4.0,1504.770035137589
1469,125219,False,,,,4.0,0.0
1470,125426,False,,,,3.0,10.870288428221599
1470,125716,False,,,,4.0,0.0
1471,125682,False,,,,4.0,0.0
1471,854136,True,5.0,0.007276376642773186,1.0,4.0,11.29632693244675
1472,1259247,False,,,,4.0,0.0
1477,728693,False,,,,4.0,0.0
1478,138256,False,,,,4.0,16.57703173072068
1479,550024,False,,,,4.0,0.0
1480,646645,False,,,,3.0,0.0
1481,874046,False,,,,4.0,0.0
1483,139533,False,,,,4.0,2.2154867069335347
1483,951282,False,,,,4.0,0.0
1484,139080,True,7.0,0.004227576499058194,1.0,4.0,19.653461749649544
1486,139634,True,4.0,0.008203859917357318,1.0,4.0,8.80437212709896
1486,139801,False,,,,3.0,5378.758738270615
1486,951173,False,,,,4.0,8.913665726391718
1487,139807,False,,,,3.0,0.0
1504,954490,False,,,,4.0,2.827445847497832
1506,146134,False,,,,4.0,15.642570420838416
1506,146258,False,,,,4.0,13.868310378595362
1507,22516,False,,,,4.0,0.0
1507,872108,False,,,,4.0,18.566465926703675
1513,146527,False,,,,4.0,9.982490036367302
1513,146582,False,,,,5.0,2.642217262640569
1514,146151,False,,,,4.0,0.0
1514,146200,False,,,,4.0,0.0
1514,146512,False,,,,5.0,0.0
1517,956940,False,,,,4.0,23.688751259854598
1523,144980,False,,,,3.0,0.0
1524,139081,False,,,,4.0,9.059091965928912
1524,139204,False,,,,4.0,13.067554716109557
1524,139424,False,,,,4.0,0.0
1525,145215,False,,,,4.0,0.0
1532,429080,False,,,,4.0,0.0
1534,139925,True,3.0,0.0064313278876871605,1.0,4.0,1.3405441169087575
1534,140311,False,,,,4.0,7.89025880193127
1535,545841,True,6.0,0.0047875535875816005,3.0,4.0,0.0
1536,138807,False,,,,4.0,0.0
1537,139895,False,,,,4.0,0.0
1537,776200,False,,,,3.0,0.0
1544,23127,True,4.0,0.008799934825520625,4.0,4.0,0.0
1544,137168,False,,,,3.0,0.0
1545,137113,False,,,,3.0,0.0
1546,23126,False,,,,4.0,0.0
1546,137319,False,,,,4.0,0.0
1546,776752,False,,,,4.0,0.0
1547,21906,False,,,,4.0,1358.6201554536494
1556,1637449,False,,,,4.0,1167.8754647582396
1558,125477,False,,,,4.0,0.0
1558,671767,False,,,,4.0,0.0
1558,671771,False,,,,4.0,0.0
1559,125495,False,,,,4.0,0.0
1559,1260910,True,9.0,0.0011998606203447483,1.0,4.0,1.8699351536283075
1580,107518,True,7.0,0.005854852848651216,1.0,4.0,11.725575640796992
1580,160478,False,,,,4.0,0.0
1581,119308,False,,,,4.0,5.715409601252461
1581,119330,False,,,,4.0,0.0
1582,109326,False,,,,4.0,6.4340455668064145
1582,109570,True,2.0,0.00780160266653075,1.0,4.0,0.0
1583,999142,False,,,,4.0,19.104928324562387
1584,119303,False,,,,4.0,0.0
1584,1545427,False,,,,4.0,0.0
1585,119063,False,,,,4.0,1854.9805684102673
1586,550278,False,,,,4.0,2542.139303199129
1586,1202102,False,,,,5.0,2.268185222262868
1587,106950,False,,,,4.0,3904.817011581954
1589,107154,True,10.0,0.004838173399058814,1.0,4.0,0.0
1618,103807,False,,,,3.0,9.330774824494034
1619,1172099,False,,,,3.0,0.0
1620,104930,True,6.0,0.0061680898391184655,1.0,4.0,8.86316251614351
1650,104648,False,,,,3.0,0.0
1666,72336,False,,,,3.0,0.0
1666,72394,False,,,,3.0,0.0
1667,72815,False,,,,4.0,99.1605463403003
1668,72919,True,9.0,0.006144026627565064,1.0,4.0,98.52878924195687
1669,72717,False,,,,3.0,0.0
