taz_id,node_id,earliest_to_final,stabilized_to_final,in_earliest,in_stabilized,in_final,density,density_rank,major_level,outside_len_ft,line_node_dist_ft
49,37806,added,added,False,False,True,0.0,0,4.0,0.0,0.0
49,37823,removed,not_applicable,True,False,False,0.01584434071768461,3,3.0,0.0,176.7399101126089
49,37828,removed,not_applicable,True,False,False,0.020978492780040468,1,4.0,0.0,87.00963748411586
49,927803,added,removed,False,True,False,0.009695286715244153,8,4.0,0.0,200.54385088011625
49,991644,removed,not_applicable,True,False,False,0.01212658894745237,6,4.0,3.3779357007818787,44.45001949389576
49,1166455,added,unchanged,False,True,True,0.020978492780040468,1,4.0,2.3552785854733034,2008.876421034935
49,1168198,removed,not_applicable,True,False,False,0.018051076124851854,2,4.0,7.25683185335525,22.365196916176014
49,1170644,added,removed,False,True,False,0.010415880647207346,7,4.0,0.0,83.52906945473973
55,64274,added,removed,False,True,False,0.010949060167633227,3,4.0,0.0,73.73613800108433
55,64341,added,removed,False,True,False,0.01237162582655955,2,4.0,0.0,290.21689598812793
55,582448,added,added,False,False,True,0.0,0,4.0,0.0,0.0
55,582458,removed,not_applicable,True,False,False,0.007792581089383525,6,4.0,3130.427055793865,3035.259458758322
55,872688,removed,not_applicable,True,False,False,0.01237162582655955,2,4.0,0.0,1.8628036037136975
55,1045554,added,added,False,False,True,0.0,0,4.0,6.796096147656931,0.0
55,1045569,removed,not_applicable,True,False,False,0.010949060167633227,3,4.0,10.305206375434699,32.082391720257924
55,1176338,unchanged,unchanged,True,True,True,0.016726966829777676,1,3.0,3.7874729407395695,443.3159380014986
56,64273,added,added,False,False,True,0.0,0,4.0,0.0,0.0
56,65228,added,added,False,False,True,0.0,0,3.0,3642.417433919592,0.0
56,582457,removed,removed,True,True,False,0.011526398540137376,3,4.0,0.0,48.15778382894416
56,689734,removed,not_applicable,True,False,False,0.0054694889622875316,8,4.0,745.8150752681239,832.2465634353691
56,760616,added,removed,False,True,False,0.022298960300556666,1,3.0,5.441325931699182,4095.3270088345794
56,994480,removed,not_applicable,True,False,False,0.009929945103483016,5,3.0,3718.004999264425,3654.9626697807967
56,996545,added,added,False,False,True,0.0,0,4.0,0.0,0.0
56,996745,removed,not_applicable,True,False,False,0.022298960300556666,1,4.0,3777.8202009467796,4334.208353792785
57,64096,removed,not_applicable,True,False,False,0.006931633391117604,2,5.0,21.137913874139755,96.30884053367124
57,64293,added,unchanged,False,True,True,0.005488845606977136,6,5.0,8.855670537372552,341.94883047341483
57,64321,added,added,False,False,True,0.0,0,4.0,0.0,0.0
57,64349,removed,removed,True,True,False,0.006646319009770278,3,5.0,13.703871917698148,123.47190869203304
57,989381,added,removed,False,True,False,0.008268212404225239,1,4.0,0.0,11.420919359839958
57,990501,removed,not_applicable,True,False,False,0.0058842750705340304,4,4.0,0.0,47.010646604979605
57,1163074,added,added,False,False,True,0.0,0,5.0,8.300358958463962,0.0
57,1185463,removed,not_applicable,True,False,False,0.00486630030813195,8,5.0,13.43424382995409,14.10536282960217
58,66939,added,added,False,False,True,0.0,0,4.0,0.0,0.0
58,872657,removed,removed,True,True,False,0.01028443568854815,6,4.0,0.0,52.7787995219162
58,1166172,removed,removed,True,True,False,0.025332878283115083,1,4.0,0.0,63.905651949819934
58,1169270,removed,not_applicable,True,False,False,0.01467225873865273,5,4.0,353.8054729554022,383.3094869538887
58,1548232,removed,not_applicable,True,False,False,0.015670338719784557,3,4.0,1708.5276471359568,2166.09414571754
59,65290,unchanged,unchanged,True,True,True,0.009580050704814267,5,4.0,0.0,459.2080983939401
59,65407,added,added,False,False,True,0.0,0,3.0,0.0,0.0
59,995866,removed,not_applicable,True,False,False,0.013103633540412241,3,3.0,0.0,41.11605147086084
59,1222395,removed,not_applicable,True,False,False,0.009540248976556639,6,4.0,3807.0028462523087,4048.629942598763
59,1223227,added,removed,False,True,False,0.014336126003466135,1,3.0,0.0,1567.4884197984172
59,1369157,removed,not_applicable,True,False,False,0.013552807026458029,2,3.0,46.80638008111054,210.83447916424726
60,64387,removed,removed,True,True,False,0.007991743036726654,3,4.0,0.0,64.55924359709026
60,65274,removed,not_applicable,True,False,False,0.007423273481698348,4,5.0,2894.969017079384,2875.875472836965
60,66918,added,unchanged,False,True,True,0.009640477780127098,1,4.0,0.0,1266.8681985987762
60,991017,added,added,False,False,True,0.0,0,4.0,0.0,0.0
60,1170540,removed,not_applicable,True,False,False,0.009545624672579536,2,4.0,0.0,50.349050092406365
60,1223227,removed,not_applicable,True,False,False,0.007061185369263201,5,3.0,1361.8847411621957,1296.0527427949019
61,65408,added,removed,False,True,False,0.007125916786586648,5,3.0,21.683258588320573,367.98867224633744
61,65410,added,added,False,False,True,0.0,0,3.0,0.0,0.0
61,65664,removed,not_applicable,True,False,False,0.007189339164640247,4,3.0,16.09689160407126,21.489402106860766
61,65669,added,unchanged,False,True,True,0.007954025176837217,3,3.0,14.64327839034376,963.0837752532103
