taz_id,old_node_id,new_node_id,endpoint_shift_ft,old_density,old_density_rank,old_major_level,new_major_level,major_level_change,new_was_20260722_candidate,new_candidate_best_rank
266,996400,131631,410.9796223654107,0.010060897483614929,5,4.0,4.0,same,False,
266,1692326,586100,645.6082403439411,0.014687117203033428,2,4.0,4.0,same,False,
278,561670,91807,343.3750282111606,0.0032156339805554392,3,4.0,4.0,same,True,4.0
278,1718396,833595,6020.022146968926,0.0015908223117948725,9,4.0,4.0,same,False,
278,1697830,991725,76.49660123180634,0.005245253165854039,1,4.0,4.0,same,False,
285,598981,598955,3307.212362398301,0.006911156748383037,2,4.0,4.0,same,False,
285,811473,89095,5189.111850789175,0.003804953390931671,8,3.0,3.0,same,False,
292,80779,986450,67.75559017552997,0.008685775778489765,2,4.0,4.0,same,False,
293,1535444,79698,2888.8676622512376,0.014159348181440136,1,4.0,4.0,same,True,3.0
319,764607,163296,155.07743227176434,0.019996596985426704,2,4.0,4.0,same,True,6.0
322,69355,69356,77.99948717763728,0.009815338502122928,4,3.0,3.0,same,False,
334,1198785,873388,1701.961580060112,0.012914145237657649,3,4.0,4.0,same,False,
335,65050,65058,1255.2692938170678,0.010893001783989505,2,4.0,4.0,same,False,
335,600049,64865,1125.8230233925408,0.007691413130934951,8,4.0,4.0,same,False,
338,63863,64581,1760.837329226909,0.011861711590820154,8,3.0,4.0,less major,False,
340,64749,64678,1558.6303282050017,0.013270618591249847,2,4.0,4.0,same,False,
348,691406,69073,1239.1463069390109,0.013718207316129919,1,3.0,3.0,same,False,
349,69157,69147,484.9014848403263,0.017945252313411677,1,4.0,4.0,same,False,
360,67429,67425,447.45475748988673,0.017679236770617685,5,4.0,4.0,same,False,
362,729028,67809,103.14145626277491,0.013141405938036418,5,4.0,4.0,same,True,2.0
365,986559,67110,575.3430715667729,0.018039982770083583,2,4.0,4.0,same,False,
367,66960,986161,27.30073259089967,0.01517150949987336,3,4.0,4.0,same,False,
367,67022,543111,454.1607754969361,0.010151035320503245,8,4.0,4.0,same,False,
371,761378,66464,1404.4661085273976,0.012426874732278792,1,4.0,4.0,same,True,8.0
371,1546578,66413,186.44047307495842,0.0071683361659395555,6,4.0,4.0,same,False,
372,1449723,1449527,405.22154434324324,0.007528206013712017,5,4.0,4.0,same,False,
372,67633,582675,145.88231558354573,0.01373154977322168,2,4.0,4.0,same,False,
373,989650,66465,429.773579922118,0.006708210112433654,7,4.0,4.0,same,False,
374,67730,67718,513.1802412408343,0.008225750011047217,7,4.0,4.0,same,False,
375,1271263,68014,747.9443094240719,0.01489816192057759,1,3.0,3.0,same,True,6.0
375,1219728,68035,2616.3550600012577,0.013254583261640139,4,4.0,4.0,same,False,
375,68217,1223916,810.5595598097404,0.014450883443409753,3,4.0,4.0,same,False,
377,1387176,67925,174.76055046946456,0.014972637231140043,3,3.0,3.0,same,False,
378,67736,67737,407.55344434810075,0.012950588080161604,3,4.0,4.0,same,False,
379,1271279,1045266,465.8279188720808,0.013865083283374957,3,4.0,4.0,same,False,
379,1190199,1045129,54.70228514423574,0.02550873432745521,1,4.0,4.0,same,False,
393,872491,63761,1269.9655192173316,0.004655389781225549,10,4.0,4.0,same,False,
393,63336,63339,326.6090017139855,0.01237426840741686,1,4.0,4.0,same,True,2.0
394,991567,39296,839.7008336299101,0.014275003182333046,3,4.0,4.0,same,True,6.0
394,872914,39383,736.325098037259,0.0036406189583344673,10,4.0,4.0,same,False,
399,39287,39260,1895.4624765476103,0.012824594781980237,1,3.0,3.0,same,False,
399,1171972,38961,457.9391444289639,0.01280340389841504,3,3.0,3.0,same,False,
399,639240,37601,624.2823800172409,0.004219637248899841,10,4.0,4.0,same,False,
400,36825,36834,613.5066747803052,0.004136678408051681,7,4.0,4.0,same,False,
400,38899,38898,1288.683440570631,0.012632454830938781,1,3.0,3.0,same,False,
400,991399,37565,835.7196718997271,0.00693704075468862,3,4.0,4.0,same,False,
401,1208637,38031,2483.6930325621533,0.00274413572590138,9,4.0,4.0,same,False,
403,991457,1638957,973.4121942935993,0.007137597142051886,1,3.0,3.0,same,False,
