TAZ_ID,OLD_SHARED_NODE_ID,NEW_NODE_ID,KEEPER_TAZ_ID,OLD_OWNER_COUNT,NEW_NODE_DISTANCE_FT,NEW_NODE_MAJOR_LEVEL,NEW_NODE_OUTSIDE_GA,OUTSIDE_TAZ_LENGTH_FT,MIN_ANGLE_DEG,CROSSES_GSTDM,BOUNDARY_FALLBACK,REVIEW_WARNING
800,222845,1358005,799,2,650.063,5.0,0,0.0,25.83,0,0,ANGLE_LT_70
3517,227656,227655,4285,2,366.942,5.0,0,38.302,122.762,0,0,
4414,229420,903226,4415,2,162.519,4.0,0,0.0,76.795,0,0,
875,231838,971698,852,2,946.097,4.0,0,2.885,135.001,0,0,
833,232662,476362,834,2,153.121,4.0,0,0.0,71.406,0,0,
824,232752,1379625,825,2,1655.851,3.0,0,0.0,92.591,0,0,
825,232773,1046490,826,2,173.489,5.0,0,9.681,60.126,0,0,ANGLE_LT_70
830,233862,976321,831,2,178.484,4.0,0,0.0,132.857,0,0,
843,233964,970808,842,2,112.987,4.0,0,0.0,110.184,0,0,
828,234032,234034,839,2,275.908,5.0,0,0.0,72.558,0,0,
838,234179,1707724,839,2,694.229,5.0,0,0.0,114.371,0,0,
865,234194,1682871,839,2,129.163,5.0,0,0.0,41.654,0,0,ANGLE_LT_70
843,234238,748827,858,2,120.048,4.0,0,2.624,74.11,0,0,
859,234260,970487,842,2,168.699,4.0,0,26.113,82.044,0,0,
859,234412,970660,867,2,232.16,3.0,0,1.307,83.281,0,0,
866,234574,540853,865,2,149.333,3.0,0,4.189,71.685,0,0,
864,234833,420197,863,2,165.991,3.0,0,0.0,180.0,0,0,
1117,235840,1665066,1118,2,853.271,4.0,0,0.0,95.8,0,0,
1116,235991,1724230,1112,2,725.412,5.0,0,0.0,70.371,0,0,
1111,236039,411392,1112,2,7753.17,5.0,0,24.584,27.724,0,0,ANGLE_LT_70
861,236450,1635797,862,2,1081.672,4.0,0,0.0,132.989,0,0,
883,237568,237566,915,2,1725.54,4.0,0,1.585,87.474,0,0,
879,237593,1657425,912,2,851.392,5.0,0,0.0,90.721,0,0,
878,237745,1659015,912,2,345.963,4.0,0,0.0,42.057,0,0,ANGLE_LT_70
904,237793,466320,911,2,866.803,4.0,0,1.352,59.374,0,0,ANGLE_LT_70
904,238193,968390,903,2,979.023,4.0,0,0.0,114.973,0,0,
898,238355,968127,899,2,881.645,4.0,0,20.714,107.577,0,0,
886,238568,1702411,913,2,889.272,4.0,0,0.0,91.205,0,0,
884,238635,967633,895,2,149.345,4.0,0,0.386,103.767,0,0,
892,238946,240126,898,2,1248.253,5.0,0,0.0,135.139,0,0,
886,239167,239162,887,2,497.297,5.0,0,5.308,77.189,0,0,
890,239516,1719341,889,2,47.94,3.0,0,0.0,97.352,0,0,
5698,240778,1512202,5706,2,207.757,5.0,0,2.157,28.485,0,0,ANGLE_LT_70
5663,242112,936450,5664,2,273.051,5.0,0,0.0,72.752,0,0,
5697,242363,242365,5701,2,978.135,5.0,0,0.0,71.899,0,0,
5707,242541,242540,5701,2,1627.198,4.0,0,0.0,89.102,0,0,
801,242892,889313,802,2,946.296,4.0,0,10.552,93.73,0,0,
717,243405,980221,716,2,824.123,4.0,0,1.613,154.752,0,0,
5690,244182,1524431,5693,2,113.732,4.0,0,5.33,89.397,0,0,
5693,244290,244288,5694,2,135.181,4.0,0,0.0,56.228,0,0,ANGLE_LT_70
3101,244820,244819,3100,2,311.146,5.0,0,0.0,116.419,0,0,
3106,245179,819592,3130,2,3637.098,5.0,0,0.0,158.114,0,0,
3114,245300,1692533,3120,2,987.584,5.0,0,20.418,90.557,0,0,
3114,245333,245334,3121,2,720.851,5.0,0,0.0,85.686,0,0,
3113,245387,457158,3114,2,728.1,4.0,0,0.0,76.351,0,0,
3111,245520,896810,3112,2,1258.067,4.0,0,0.0,110.644,0,0,
3138,246704,246703,3139,2,163.483,4.0,0,0.0,32.914,0,0,ANGLE_LT_70
5677,247415,247419,5681,2,436.568,4.0,0,0.0,128.714,0,0,
5561,248628,679259,5562,2,65.589,4.0,0,0.0,132.39,0,0,
5563,248703,702065,5564,2,1050.993,5.0,0,0.0,140.002,0,0,
5542,250115,1719563,5549,2,346.42,5.0,0,13.337,95.951,0,0,
5576,252194,466560,5606,2,1075.338,3.0,0,0.0,80.04,0,0,
5511,252807,45325,5512,2,2772.534,3.0,0,8.714,134.327,0,0,
5499,252839,252841,5512,2,648.92,5.0,0,0.236,125.229,0,0,
5528,252950,1680813,5520,2,342.553,3.0,0,8.261,38.815,0,0,ANGLE_LT_70
5471,253742,880893,5494,2,525.385,4.0,0,0.0,110.903,0,0,
5490,254186,915836,5493,2,303.58,4.0,0,4.986,121.201,0,0,
5463,254492,254493,5489,2,404.266,4.0,0,20.593,118.337,0,0,
3210,255254,255309,3211,2,679.266,5.0,0,13.246,125.647,0,0,
3198,255632,891057,3197,2,245.498,4.0,0,0.0,74.394,0,0,
3202,256571,256567,3203,2,2050.129,4.0,0,4.628,71.429,0,0,
713,257361,1722224,677,2,304.136,5.0,0,0.351,83.333,0,0,
678,257493,257494,679,2,418.39,4.0,0,0.0,127.157,0,0,
676,257591,981394,690,2,88.524,4.0,0,2.391,68.136,0,0,ANGLE_LT_70
688,257681,888567,689,2,532.321,4.0,0,4.199,28.059,0,0,ANGLE_LT_70
686,257747,888070,684,2,111.055,4.0,0,0.0,36.424,0,0,ANGLE_LT_70
703,257988,980910,704,2,378.106,4.0,0,2.315,157.236,0,0,
691,258335,657695,687,2,69.163,3.0,0,0.0,41.997,0,0,ANGLE_LT_70
675,258344,888457,712,2,478.129,4.0,0,37.1,123.712,0,0,
691,258442,888462,711,2,196.206,4.0,0,0.0,71.599,0,0,
697,258708,981022,704,2,227.671,4.0,0,0.224,124.109,0,0,
695,258757,980803,696,2,150.936,4.0,0,0.0,59.346,0,0,ANGLE_LT_70
692,258803,786580,710,2,149.802,4.0,0,0.269,124.562,0,0,
